blk_street,latitude,longitude,
36 BEDOK STH AVE 2,1.3215806,103.9382803,
35 BEDOK STH AVE 2,1.3223734,103.9398229,
41 BEDOK STH RD,1.3211277,103.9407283,
42 BEDOK STH RD,1.3214934,103.9407278,
53 NEW UPP CHANGI RD,1.3243325,103.9424467,
51 NEW UPP CHANGI RD,1.3234567,103.9422704,
8 BEDOK STH AVE 2,1.322852,103.9360838,
718 BEDOK RESERVOIR RD,1.337161,103.9256829,
724 BEDOK RESERVOIR RD,1.3371453,103.928402,
166 BEDOK STH AVE 3,1.32001,103.9451699,
71 BEDOK STH RD,1.320458,103.9427234,
82 BEDOK NTH RD,1.3295396,103.9403668,
78 BEDOK NTH RD,1.3272685,103.9409107,
79 BEDOK NTH RD,1.327708,103.94082,
80 BEDOK NTH RD,1.3285133,103.9407294,
134 BEDOK NTH ST 2,1.3283172,103.9366504,
126 BEDOK NTH ST 2,1.3281579,103.9389165,
130 BEDOK NTH ST 2,1.3271456,103.9368316,
132 BEDOK NTH ST 2,1.3277314,103.936741,
131 BEDOK NTH AVE 3,1.3269324,103.9357439,
133 BEDOK NTH AVE 3,1.3275177,103.9357439,
121 BEDOK NTH RD,1.3296222,103.9387352,
89 BEDOK NTH ST 4,1.332718,103.9380402,
62 NEW UPP CHANGI RD,1.3233233,103.9400042,
422 BEDOK NTH RD,1.3287637,103.9289911,
427 BEDOK NTH RD,1.3290657,103.9273597,
507 BEDOK NTH AVE 3,1.3329865,103.9326168,
508 BEDOK NTH AVE 3,1.3334266,103.9324355,
517 BEDOK NTH AVE 2,1.3310677,103.9291271,
95 BEDOK NTH AVE 4,1.3338112,103.9418625,
93 BEDOK NTH AVE 4,1.3329353,103.9414999,
43 CHAI CHEE ST,1.3283802,103.9255,
404 BEDOK NTH AVE 3,1.3293572,103.9339311,
403 BEDOK NTH AVE 3,1.3297967,103.9338404,
543 BEDOK NTH ST 3,1.3303709,103.9230544,
547 BEDOK NTH ST 3,1.3303589,103.925139,
708 BEDOK NTH RD,1.3350028,103.9192478,
707 BEDOK NTH RD,1.3354419,103.9192478,
622 BEDOK RESERVOIR RD,1.3340662,103.9167101,
713 BEDOK RESERVOIR RD,1.336814,103.92242,
609 BEDOK RESERVOIR RD,1.3318329,103.9131117,
61 CHAI CHEE RD,1.3251171,103.9206073,
56 CHAI CHEE DR,1.326364,103.9200635,
165 BEDOK STH RD,1.3202925,103.9460775,
505 BEDOK NTH AVE 3,1.331848,103.9333872,
417 BEDOK NTH AVE 2,1.3275847,103.9304414,
710 BEDOK RESERVOIR RD,1.3356353,103.9237795,
613 BEDOK RESERVOIR RD,1.3319589,103.9166817,
602 BEDOK RESERVOIR RD,1.3293395,103.9115443,
603 BEDOK RESERVOIR RD,1.3299934,103.9123599,
605 BEDOK RESERVOIR RD,1.3302793,103.9135381,
112 BEDOK RESERVOIR RD,1.3297122,103.9103661,
1 CHAI CHEE RD,1.3280646,103.9225418,
722 BEDOK RESERVOIR RD,1.3366346,103.9281301,
54 NEW UPP CHANGI RD,1.3249182,103.9425423,
72 BEDOK STH AVE 3,1.3203432,103.9436754,
31 BEDOK STH AVE 2,1.3230416,103.9381007,
111 BEDOK NTH RD,1.3314701,103.935472,
120 BEDOK NTH ST 2,1.3299216,103.9375568,
118 BEDOK NTH ST 2,1.3304343,103.9374662,
96 BEDOK NTH AVE 4,1.3331979,103.9403668,
137 BEDOK NTH AVE 3,1.3288356,103.9355626,
139 BEDOK NTH AVE 3,1.3294215,103.935472,
716 BEDOK RESERVOIR RD,1.3378249,103.9247765,
725 BEDOK RESERVOIR RD,1.3376549,103.9288552,
22 SIN MING RD,1.3572107,103.8392427,
24 SIN MING RD,1.3553878,103.836408,
309 SHUNFU RD,1.3509243,103.8382498,
304 SHUNFU RD,1.3501914,103.8383403,
308 SHUNFU RD,1.3515149,103.8379898,
310 SHUNFU RD,1.3509026,103.8384743,
160 BT BATOK ST 11,1.3489171,103.7420889,
161 BT BATOK ST 11,1.3484775,103.7420888,
164 BT BATOK ST 11,1.3477409,103.7428129,
177 BT BATOK WEST AVE 8,1.346356,103.7416359,
130 BT BATOK WEST AVE 6,1.3511652,103.746072,
127 BT BATOK WEST AVE 6,1.3518875,103.7460717,
205 BT BATOK ST 21,1.3471327,103.7498505,
248 BT BATOK EAST AVE 5,1.3502993,103.7564817,
258 BT BATOK EAST AVE 4,1.3513108,103.758926,
4 HILLVIEW AVE,1.3660793,103.7624299,
6 HILLVIEW AVE,1.3660793,103.7624299,
2 HILLVIEW AVE,1.3660793,103.7624299,
146 BT BATOK WEST AVE 6,1.3496382,103.7440804,
138 BT BATOK WEST AVE 6,1.3502232,103.7442615,
134 BT BATOK WEST AVE 6,1.3516111,103.7444427,
143 BT BATOK ST 11,1.3502645,103.7439203,
145 BT BATOK ST 11,1.3500061,103.7438089,
182 BT BATOK WEST AVE 8,1.345623,103.7439186,
180 BT BATOK WEST AVE 8,1.3456162,103.742742,
228 BT BATOK CTRL,1.348675,103.753633,
227 BT BATOK CTRL,1.3484741,103.7532735,
219 BT BATOK ST 21,1.3472311,103.7550328,
244 BT BATOK EAST AVE 5,1.3491241,103.7570247,
116 BT BATOK WEST AVE 6,1.3496257,103.7462528,
113 BT BATOK WEST AVE 6,1.3488261,103.7451665,
163 BT BATOK ST 11,1.3481081,103.7426319,
169 BT BATOK WEST AVE 8,1.3465794,103.7410023,
165 BT BATOK WEST AVE 8,1.3473798,103.7419076,
129 BT BATOK WEST AVE 6,1.3514577,103.7459815,
204 BT BATOK ST 21,1.347572,103.7498958,
209 BT BATOK ST 21,1.3454729,103.7487412,
135 BT BATOK WEST AVE 6,1.3512457,103.7448048,
184 BT BATOK WEST AVE 8,1.3463435,103.7438082,
225 BT BATOK CTRL,1.348447,103.752573,
123 BT BATOK CTRL,1.3514489,103.7475203,
307 BT BATOK ST 31,1.3581784,103.748422,
216 BT BATOK ST 21,1.3471667,103.7534939,
115 BT BATOK WEST AVE 6,1.3491477,103.7465696,
117 BT BATOK WEST AVE 6,1.3498771,103.7471128,
111 BT BATOK WEST AVE 6,1.3483819,103.745981,
103 BT BATOK CTRL,1.3482234,103.748063,
223 BT BATOK EAST AVE 3,1.3481947,103.7530415,
221 BT BATOK EAST AVE 3,1.3474582,103.7537655,
214 BT BATOK ST 21,1.347389,103.7527269,
120 BT BATOK CTRL,1.3510103,103.7475202,
121 BT BATOK CTRL,1.3515933,103.7478824,
142 BT BATOK ST 11,1.3498642,103.7429943,
140 BT BATOK ST 11,1.3507386,103.743809,
141 BT BATOK ST 11,1.3503017,103.7433564,
33 TAMAN HO SWEE,1.288273,103.831722,
7 TELOK BLANGAH CRES,1.2784398,103.8194072,
40 BEO CRES,1.2891435,103.8274678,
44 TELOK BLANGAH DR,1.2714028,103.8106225,
46 TELOK BLANGAH DR,1.2717906,103.8098756,
103 DEPOT RD,1.2808099,103.813436,
110 DEPOT RD,1.2814975,103.8087969,
42 TELOK BLANGAH RISE,1.2709676,103.8227058,
132 JLN BT MERAH,1.2789023,103.8283736,
133 JLN BT MERAH,1.2796441,103.8272937,
96 HENDERSON RD,1.2882259,103.8214902,
77 INDUS RD,1.2910317,103.8270996,
